"PositionID","Description","GenderID","GenderDesc","LastUpdatedDate"
29,יושבת–ראש הקואליציה,250,נקבה,2015-03-20 12:03:00
30,יושב–ראש הקואליציה,251,זכר,2015-03-20 12:03:00
31,משנה לראש הממשלה,252,אחר,2015-03-20 12:03:00
39,שר,251,זכר,2015-03-20 12:03:00
40,סגן שר,251,זכר,2015-03-20 12:03:00
41,"יו""ר ועדה",252,אחר,2015-03-20 12:03:00
42,חבר ועדה,251,זכר,2015-03-20 12:03:00
43,חבר הכנסת,251,זכר,2015-03-20 12:03:00
45,ראש הממשלה,252,אחר,2015-03-20 12:03:00
48,"יו""ר סיעה",252,אחר,2015-03-20 12:03:00
49,"מ""מ שר",252,אחר,2015-03-20 12:03:00
50,סגן ראש הממשלה,251,זכר,2015-03-20 12:03:00
51,"מ""מ ראש הממשלה",252,אחר,2015-03-20 12:03:00
54,חבר/ת סיעה,252,אחר,2015-03-20 12:03:00
57,שרה,250,נקבה,2015-03-20 12:03:00
59,סגנית שר,250,נקבה,2015-03-20 12:03:00
61,חברת הכנסת,250,נקבה,2015-03-20 12:03:00
65,סגנית ראש הממשלה,250,נקבה,2015-03-20 12:03:00
66,חברת ועדה,250,נקבה,2015-03-20 12:03:00
67,"מ""מ חבר ועדה",252,אחר,2015-03-20 12:03:00
70,סגן יושב-ראש הכנסת,251,זכר,2015-03-20 12:03:00
71,סגנית יושב-ראש הכנסת,250,נקבה,2015-03-20 12:03:00
73,ראש הממשלה החילופי,252,אחר,2020-05-20 11:10:46
122,יושב–ראש הכנסת,251,זכר,2015-03-20 12:03:00
123,יושבת–ראש הכנסת,250,נקבה,2015-03-20 12:03:00
130,ראשת האופוזיציה,250,נקבה,2015-03-20 12:03:00
131,ראש האופוזיציה,251,זכר,2015-03-20 12:03:00
663,משקיף ועדה,252,אחר,2015-03-20 12:03:00
285078,"יו""ר הכנסת הזמני",252,אחר,2018-11-27 16:03:01
